Doctor Name,Address,PTR
CAROLINO LOPEZ,nan,nan
NARCISO GUEVARRA,nan,nan
LAARNI GARCIA,nan,nan
BENJAMIN QUITO,nan,nan
MANOLITO MARCIANO,nan,nan
ROY LOPEZ,nan,nan
DIEGO MANGABAT,nan,nan
JASON DELA CRUZ,nan,nan
VIRGINIA NAZAL TOLENTINO,nan,nan
JASON RUIZ,nan,nan
VIUDEZ EMILY,nan,nan
DONDI LIM,nan,nan
KENT ANTHONY TAN,nan,nan
WILSON TAN DE GUZMAN,nan,nan
RUSSEL UNTALAN,nan,nan
ROMINA LAGUESMA,nan,nan
BALDEVISO LEILANI,nan,nan
MICHELLE CHUA,nan,nan
CHARINA ABELLERA,nan,nan
JOY UBALDO,nan,nan
REDEN AUSA,nan,nan
EDGAR LIM,nan,nan
ANTHONY TIU,nan,nan
